Gebietseinheit,Year,Nationalität,Schulform,Units,GeoCode,Value
Statistische Region Lüneburg,2014,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR033,3.04114490161002
Statistische Region Weser-Ems,2014,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR034,2.43370868143843
Niedersachsen,2014,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR030,4.58435207823961
Statistische Region Braunschweig,2013,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR031,3.14836678473042
Statistische Region Hannover,2013,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR032,7.30419477852743
Statistische Region Lüneburg,2013,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR033,1.6969696969697
Statistische Region Weser-Ems,2013,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR034,1.80321442571541
Niedersachsen,2013,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR030,4.17113446279219
Statistische Region Braunschweig,2012,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR031,5.3885422575156
Statistische Region Hannover,2012,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR032,8.49286460146189
Statistische Region Lüneburg,2012,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR033,1.27970749542962
Statistische Region Weser-Ems,2012,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR034,1.45413870246085
Niedersachsen,2012,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR030,5.33639363075599
Statistische Region Braunschweig,2011,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR031,5.1927616050354
Statistische Region Hannover,2011,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR032,10.0379815518177
Statistische Region Lüneburg,2011,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR033,0.260416666666667
Statistische Region Weser-Ems,2011,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR034,1.44230769230769
Niedersachsen,2011,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR030,5.51069842551474
Statistische Region Braunschweig,2010,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR031,4.89566613162119
Statistische Region Hannover,2010,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR032,8.2122905027933
Statistische Region Lüneburg,2010,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR033,0.56980056980057
Statistische Region Weser-Ems,2010,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR034,1.64547494390426
Niedersachsen,2010,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR030,4.91109229466554
Statistische Region Braunschweig,2005,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR031,6.02517985611511
Statistische Region Hannover,2005,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR032,8.53510895883777
Statistische Region Lüneburg,2005,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR033,0
Statistische Region Weser-Ems,2005,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR034,3.32278481012658
Niedersachsen,2005,Ausländerinnen und Ausländer,Integrierte Gesamtschule,Prozent,SR030,5.75506445672192
Statistische Region Braunschweig,2020,Deutsche,Förderschule,Prozent,SR031,89.0070921985816
Statistische Region Hannover,2020,Deutsche,Förderschule,Prozent,SR032,86.1963190184049
Statistische Region Lüneburg,2020,Deutsche,Förderschule,Prozent,SR033,96.7391304347826
Statistische Region Weser-Ems,2020,Deutsche,Förderschule,Prozent,SR034,88.8888888888889
Niedersachsen,2020,Deutsche,Förderschule,Prozent,SR030,89.3217893217893
Statistische Region Braunschweig,2019,Deutsche,Förderschule,Prozent,SR031,89.7435897435898
Statistische Region Hannover,2019,Deutsche,Förderschule,Prozent,SR032,93.4306569343066
Statistische Region Lüneburg,2019,Deutsche,Förderschule,Prozent,SR033,91.8079096045198
Statistische Region Weser-Ems,2019,Deutsche,Förderschule,Prozent,SR034,92.6206244087039
Niedersachsen,2019,Deutsche,Förderschule,Prozent,SR030,92.1691792294807
Statistische Region Braunschweig,2018,Deutsche,Förderschule,Prozent,SR031,88.6039886039886
Statistische Region Hannover,2018,Deutsche,Förderschule,Prozent,SR032,92.0517560073937
Statistische Region Lüneburg,2018,Deutsche,Förderschule,Prozent,SR033,90.9657320872274
Statistische Region Weser-Ems,2018,Deutsche,Förderschule,Prozent,SR034,91.0628019323672
Niedersachsen,2018,Deutsche,Förderschule,Prozent,SR030,90.8868201861832
Statistische Region Braunschweig,2017,Deutsche,Förderschule,Prozent,SR031,89.0756302521009
Statistische Region Hannover,2017,Deutsche,Förderschule,Prozent,SR032,91.1877394636015
Statistische Region Lüneburg,2017,Deutsche,Förderschule,Prozent,SR033,93.5275080906149
Statistische Region Weser-Ems,2017,Deutsche,Förderschule,Prozent,SR034,92.1673819742489
Niedersachsen,2017,Deutsche,Förderschule,Prozent,SR030,91.6037735849057
Statistische Region Braunschweig,2016,Deutsche,Förderschule,Prozent,SR031,90.1960784313726
Statistische Region Hannover,2016,Deutsche,Förderschule,Prozent,SR032,92.1996879875195
Statistische Region Lüneburg,2016,Deutsche,Förderschule,Prozent,SR033,92.9577464788732
Statistische Region Weser-Ems,2016,Deutsche,Förderschule,Prozent,SR034,93.1640625
Niedersachsen,2016,Deutsche,Förderschule,Prozent,SR030,92.3805601317957
Statistische Region Braunschweig,2015,Deutsche,Förderschule,Prozent,SR031,89.5551257253385
Statistische Region Hannover,2015,Deutsche,Förderschule,Prozent,SR032,90.7012195121951
Statistische Region Lüneburg,2015,Deutsche,Förderschule,Prozent,SR033,92.6881720430108
Statistische Region Weser-Ems,2015,Deutsche,Förderschule,Prozent,SR034,93.2246998284734
Niedersachsen,2015,Deutsche,Förderschule,Prozent,SR030,91.8687589158345
Statistische Region Braunschweig,2014,Deutsche,Förderschule,Prozent,SR031,91.8406072106262
Statistische Region Hannover,2014,Deutsche,Förderschule,Prozent,SR032,86.5265760197775
Statistische Region Lüneburg,2014,Deutsche,Förderschule,Prozent,SR033,90.1213171577123
Statistische Region Weser-Ems,2014,Deutsche,Förderschule,Prozent,SR034,91.8168168168168
Niedersachsen,2014,Deutsche,Förderschule,Prozent,SR030,90.2003081664099
Statistische Region Braunschweig,2013,Deutsche,Förderschule,Prozent,SR031,88.047138047138
Statistische Region Hannover,2013,Deutsche,Förderschule,Prozent,SR032,86.7718446601942
Statistische Region Lüneburg,2013,Deutsche,Förderschule,Prozent,SR033,91.2568306010929
Statistische Region Weser-Ems,2013,Deutsche,Förderschule,Prozent,SR034,91.3907284768212
Niedersachsen,2013,Deutsche,Förderschule,Prozent,SR030,89.6271797955502
Statistische Region Braunschweig,2012,Deutsche,Förderschule,Prozent,SR031,87.220447284345
Statistische Region Hannover,2012,Deutsche,Förderschule,Prozent,SR032,83.1460674157303
Statistische Region Lüneburg,2012,Deutsche,Förderschule,Prozent,SR033,89.9053627760252
Statistische Region Weser-Ems,2012,Deutsche,Förderschule,Prozent,SR034,89.9777282850779
Niedersachsen,2012,Deutsche,Förderschule,Prozent,SR030,87.6185164528723
Statistische Region Braunschweig,2011,Deutsche,Förderschule,Prozent,SR031,83.2
Statistische Region Hannover,2011,Deutsche,Förderschule,Prozent,SR032,81.2260536398467
Statistische Region Lüneburg,2011,Deutsche,Förderschule,Prozent,SR033,87.8787878787879
Statistische Region Weser-Ems,2011,Deutsche,Förderschule,Prozent,SR034,89.0261627906977
Niedersachsen,2011,Deutsche,Förderschule,Prozent,SR030,85.6607811663991
Statistische Region Braunschweig,2010,Deutsche,Förderschule,Prozent,SR031,83.2288401253918
Statistische Region Hannover,2010,Deutsche,Förderschule,Prozent,SR032,80.3231939163498
Statistische Region Lüneburg,2010,Deutsche,Förderschule,Prozent,SR033,91.2908242612753
Statistische Region Weser-Ems,2010,Deutsche,Förderschule,Prozent,SR034,90.1041666666667
Niedersachsen,2010,Deutsche,Förderschule,Prozent,SR030,86.3203698667392
Statistische Region Braunschweig,2005,Deutsche,Förderschule,Prozent,SR031,82.4654622741764
Statistische Region Hannover,2005,Deutsche,Förderschule,Prozent,SR032,77.0614692653673
Statistische Region Lüneburg,2005,Deutsche,Förderschule,Prozent,SR033,85.6544502617801
Statistische Region Weser-Ems,2005,Deutsche,Förderschule,Prozent,SR034,86.9656992084433
Niedersachsen,2005,Deutsche,Förderschule,Prozent,SR030,83.3170731707317
Statistische Region Braunschweig,2020,Ausländerinnen und Ausländer,Förderschule,Prozent,SR031,10.9929078014184
Statistische Region Hannover,2020,Ausländerinnen und Ausländer,Förderschule,Prozent,SR032,13.8036809815951
Statistische Region Lüneburg,2020,Ausländerinnen und Ausländer,Förderschule,Prozent,SR033,3.26086956521739
Statistische Region Weser-Ems,2020,Ausländerinnen und Ausländer,Förderschule,Prozent,SR034,11.1111111111111
Niedersachsen,2020,Ausländerinnen und Ausländer,Förderschule,Prozent,SR030,10.6782106782107
Statistische Region Braunschweig,2019,Ausländerinnen und Ausländer,Förderschule,Prozent,SR031,10.2564102564103
Statistische Region Hannover,2019,Ausländerinnen und Ausländer,Förderschule,Prozent,SR032,6.56934306569343
Statistische Region Lüneburg,2019,Ausländerinnen und Ausländer,Förderschule,Prozent,SR033,8.19209039548022
Statistische Region Weser-Ems,2019,Ausländerinnen und Ausländer,Förderschule,Prozent,SR034,7.37937559129612
Niedersachsen,2019,Ausländerinnen und Ausländer,Förderschule,Prozent,SR030,7.83082077051926
Statistische Region Braunschweig,2018,Ausländerinnen und Ausländer,Förderschule,Prozent,SR031,11.3960113960114
Statistische Region Hannover,2018,Ausländerinnen und Ausländer,Förderschule,Prozent,SR032,7.94824399260628
Statistische Region Lüneburg,2018,Ausländerinnen und Ausländer,Förderschule,Prozent,SR033,9.03426791277258
Statistische Region Weser-Ems,2018,Ausländerinnen und Ausländer,Förderschule,Prozent,SR034,8.93719806763285
Niedersachsen,2018,Ausländerinnen und Ausländer,Förderschule,Prozent,SR030,9.11317981381676
Statistische Region Braunschweig,2017,Ausländerinnen und Ausländer,Förderschule,Prozent,SR031,10.9243697478992
Statistische Region Hannover,2017,Ausländerinnen und Ausländer,Förderschule,Prozent,SR032,8.81226053639847
Statistische Region Lüneburg,2017,Ausländerinnen und Ausländer,Förderschule,Prozent,SR033,6.47249190938511
Statistische Region Weser-Ems,2017,Ausländerinnen und Ausländer,Förderschule,Prozent,SR034,7.83261802575107
Niedersachsen,2017,Ausländerinnen und Ausländer,Förderschule,Prozent,SR030,8.39622641509434
Statistische Region Braunschweig,2016,Ausländerinnen und Ausländer,Förderschule,Prozent,SR031,9.80392156862745
Statistische Region Hannover,2016,Ausländerinnen und Ausländer,Förderschule,Prozent,SR032,7.8003120124805
Statistische Region Lüneburg,2016,Ausländerinnen und Ausländer,Förderschule,Prozent,SR033,7.04225352112676
Statistische Region Weser-Ems,2016,Ausländerinnen und Ausländer,Förderschule,Prozent,SR034,6.8359375
Niedersachsen,2016,Ausländerinnen und Ausländer,Förderschule,Prozent,SR030,7.61943986820428
Statistische Region Braunschweig,2015,Ausländerinnen und Ausländer,Förderschule,Prozent,SR031,10.4448742746615
Statistische Region Hannover,2015,Ausländerinnen und Ausländer,Förderschule,Prozent,SR032,9.29878048780488
Statistische Region Lüneburg,2015,Ausländerinnen und Ausländer,Förderschule,Prozent,SR033,7.31182795698925
Statistische Region Weser-Ems,2015,Ausländerinnen und Ausländer,Förderschule,Prozent,SR034,6.77530017152659
Niedersachsen,2015,Ausländerinnen und Ausländer,Förderschule,Prozent,SR030,8.13124108416548
Statistische Region Braunschweig,2014,Ausländerinnen und Ausländer,Förderschule,Prozent,SR031,8.15939278937381
Statistische Region Hannover,2014,Ausländerinnen und Ausländer,Förderschule,Prozent,SR032,13.4734239802225
Statistische Region Lüneburg,2014,Ausländerinnen und Ausländer,Förderschule,Prozent,SR033,9.8786828422877
Statistische Region Weser-Ems,2014,Ausländerinnen und Ausländer,Förderschule,Prozent,SR034,8.18318318318318
Niedersachsen,2014,Ausländerinnen und Ausländer,Förderschule,Prozent,SR030,9.79969183359014
Statistische Region Braunschweig,2013,Ausländerinnen und Ausländer,Förderschule,Prozent,SR031,11.952861952862
Statistische Region Hannover,2013,Ausländerinnen und Ausländer,Förderschule,Prozent,SR032,13.2281553398058
Statistische Region Lüneburg,2013,Ausländerinnen und Ausländer,Förderschule,Prozent,SR033,8.7431693989071
Statistische Region Weser-Ems,2013,Ausländerinnen und Ausländer,Förderschule,Prozent,SR034,8.60927152317881
Niedersachsen,2013,Ausländerinnen und Ausländer,Förderschule,Prozent,SR030,10.3728202044498
Statistische Region Braunschweig,2012,Ausländerinnen und Ausländer,Förderschule,Prozent,SR031,12.779552715655
Statistische Region Hannover,2012,Ausländerinnen und Ausländer,Förderschule,Prozent,SR032,16.8539325842697
Statistische Region Lüneburg,2012,Ausländerinnen und Ausländer,Förderschule,Prozent,SR033,10.0946372239748
Statistische Region Weser-Ems,2012,Ausländerinnen und Ausländer,Förderschule,Prozent,SR034,10.022271714922
Niedersachsen,2012,Ausländerinnen und Ausländer,Förderschule,Prozent,SR030,12.3814835471277
Statistische Region Braunschweig,2011,Ausländerinnen und Ausländer,Förderschule,Prozent,SR031,16.8
Statistische Region Hannover,2011,Ausländerinnen und Ausländer,Förderschule,Prozent,SR032,18.7739463601533
Statistische Region Lüneburg,2011,Ausländerinnen und Ausländer,Förderschule,Prozent,SR033,12.1212121212121
Statistische Region Weser-Ems,2011,Ausländerinnen und Ausländer,Förderschule,Prozent,SR034,10.9738372093023
Niedersachsen,2011,Ausländerinnen und Ausländer,Förderschule,Prozent,SR030,14.3392188336009
Statistische Region Braunschweig,2010,Ausländerinnen und Ausländer,Förderschule,Prozent,SR031,16.7711598746081
Statistische Region Hannover,2010,Ausländerinnen und Ausländer,Förderschule,Prozent,SR032,19.6768060836502
Statistische Region Lüneburg,2010,Ausländerinnen und Ausländer,Förderschule,Prozent,SR033,8.70917573872473
Statistische Region Weser-Ems,2010,Ausländerinnen und Ausländer,Förderschule,Prozent,SR034,9.89583333333333
Niedersachsen,2010,Ausländerinnen und Ausländer,Förderschule,Prozent,SR030,13.6796301332608
Statistische Region Braunschweig,2005,Ausländerinnen und Ausländer,Förderschule,Prozent,SR031,17.5345377258236
Statistische Region Hannover,2005,Ausländerinnen und Ausländer,Förderschule,Prozent,SR032,22.9385307346327
Statistische Region Lüneburg,2005,Ausländerinnen und Ausländer,Förderschule,Prozent,SR033,14.3455497382199
Statistische Region Weser-Ems,2005,Ausländerinnen und Ausländer,Förderschule,Prozent,SR034,13.0343007915567
Niedersachsen,2005,Ausländerinnen und Ausländer,Förderschule,Prozent,SR030,16.6829268292683
Statistische Region Braunschweig,2020,Deutsche,Insgesamt,Prozent,SR031,89.7811236581626
Statistische Region Hannover,2020,Deutsche,Insgesamt,Prozent,SR032,88.0279930017496
Statistische Region Lüneburg,2020,Deutsche,Insgesamt,Prozent,SR033,91.8166263496371
Statistische Region Weser-Ems,2020,Deutsche,Insgesamt,Prozent,SR034,89.3063467054498
Niedersachsen,2020,Deutsche,Insgesamt,Prozent,SR030,89.6190814300554
Statistische Region Braunschweig,2019,Deutsche,Insgesamt,Prozent,SR031,90.7313442933496
Statistische Region Hannover,2019,Deutsche,Insgesamt,Prozent,SR032,88.9458272327965
Statistische Region Lüneburg,2019,Deutsche,Insgesamt,Prozent,SR033,92.8559142251018
Statistische Region Weser-Ems,2019,Deutsche,Insgesamt,Prozent,SR034,90.6781950824102
Niedersachsen,2019,Deutsche,Insgesamt,Prozent,SR030,90.7198005571172
Statistische Region Braunschweig,2018,Deutsche,Insgesamt,Prozent,SR031,91.4063034114993
Statistische Region Hannover,2018,Deutsche,Insgesamt,Prozent,SR032,89.8930765881272
Statistische Region Lüneburg,2018,Deutsche,Insgesamt,Prozent,SR033,93.3273421702988
Statistische Region Weser-Ems,2018,Deutsche,Insgesamt,Prozent,SR034,91.7752995252807
Niedersachsen,2018,Deutsche,Insgesamt,Prozent,SR030,91.5660078852867
Statistische Region Braunschweig,2017,Deutsche,Insgesamt,Prozent,SR031,92.0952896589063
Statistische Region Hannover,2017,Deutsche,Insgesamt,Prozent,SR032,90.5361396004472
Statistische Region Lüneburg,2017,Deutsche,Insgesamt,Prozent,SR033,94.2263538108305
Statistische Region Weser-Ems,2017,Deutsche,Insgesamt,Prozent,SR034,92.5999252895032
Niedersachsen,2017,Deutsche,Insgesamt,Prozent,SR030,92.3389516855056
Statistische Region Braunschweig,2016,Deutsche,Insgesamt,Prozent,SR031,92.9464834939512
Statistische Region Hannover,2016,Deutsche,Insgesamt,Prozent,SR032,92.1888198757764
Statistische Region Lüneburg,2016,Deutsche,Insgesamt,Prozent,SR033,94.8085251880556
Statistische Region Weser-Ems,2016,Deutsche,Insgesamt,Prozent,SR034,93.5966010394143
Niedersachsen,2016,Deutsche,Insgesamt,Prozent,SR030,93.3858768194241
Statistische Region Braunschweig,2015,Deutsche,Insgesamt,Prozent,SR031,94.408050246505
Statistische Region Hannover,2015,Deutsche,Insgesamt,Prozent,SR032,92.4890485800069
Statistische Region Lüneburg,2015,Deutsche,Insgesamt,Prozent,SR033,95.9311075190903
Statistische Region Weser-Ems,2015,Deutsche,Insgesamt,Prozent,SR034,94.8556256223034
Niedersachsen,2015,Deutsche,Insgesamt,Prozent,SR030,94.4139582449926
Statistische Region Braunschweig,2014,Deutsche,Insgesamt,Prozent,SR031,94.77636092951
Statistische Region Hannover,2014,Deutsche,Insgesamt,Prozent,SR032,92.926230691497
Statistische Region Lüneburg,2014,Deutsche,Insgesamt,Prozent,SR033,96.1239895069329
Statistische Region Weser-Ems,2014,Deutsche,Insgesamt,Prozent,SR034,95.0181422351234
Niedersachsen,2014,Deutsche,Insgesamt,Prozent,SR030,94.6961888709697
Statistische Region Braunschweig,2013,Deutsche,Insgesamt,Prozent,SR031,94.1678520625889
Statistische Region Hannover,2013,Deutsche,Insgesamt,Prozent,SR032,92.2913785154449
Statistische Region Lüneburg,2013,Deutsche,Insgesamt,Prozent,SR033,96.5196380834876
Statistische Region Weser-Ems,2013,Deutsche,Insgesamt,Prozent,SR034,95.3841920616358
Niedersachsen,2013,Deutsche,Insgesamt,Prozent,SR030,94.6356427620536
Statistische Region Braunschweig,2012,Deutsche,Insgesamt,Prozent,SR031,93.6959587907034
Statistische Region Hannover,2012,Deutsche,Insgesamt,Prozent,SR032,91.5316117542297
Statistische Region Lüneburg,2012,Deutsche,Insgesamt,Prozent,SR033,96.0788297440065
Statistische Region Weser-Ems,2012,Deutsche,Insgesamt,Prozent,SR034,95.1435178887226
Niedersachsen,2012,Deutsche,Insgesamt,Prozent,SR030,94.161099033679
Statistische Region Braunschweig,2011,Deutsche,Insgesamt,Prozent,SR031,93.6190196653948
Statistische Region Hannover,2011,Deutsche,Insgesamt,Prozent,SR032,91.4069591527988
Statistische Region Lüneburg,2011,Deutsche,Insgesamt,Prozent,SR033,95.8447818751506
Statistische Region Weser-Ems,2011,Deutsche,Insgesamt,Prozent,SR034,94.9094102722571
Niedersachsen,2011,Deutsche,Insgesamt,Prozent,SR030,93.9972506491523
Statistische Region Braunschweig,2010,Deutsche,Insgesamt,Prozent,SR031,93.4072881940453
Statistische Region Hannover,2010,Deutsche,Insgesamt,Prozent,SR032,91.4045940217156
Statistische Region Lüneburg,2010,Deutsche,Insgesamt,Prozent,SR033,96.0743999234962
Statistische Region Weser-Ems,2010,Deutsche,Insgesamt,Prozent,SR034,95.3753695847795
Niedersachsen,2010,Deutsche,Insgesamt,Prozent,SR030,94.1714841428494
Statistische Region Braunschweig,2005,Deutsche,Insgesamt,Prozent,SR031,92.663769178405
Statistische Region Hannover,2005,Deutsche,Insgesamt,Prozent,SR032,90.1237121933055
Statistische Region Lüneburg,2005,Deutsche,Insgesamt,Prozent,SR033,95.0958702064897
Statistische Region Weser-Ems,2005,Deutsche,Insgesamt,Prozent,SR034,94.8427672955975
Niedersachsen,2005,Deutsche,Insgesamt,Prozent,SR030,93.3034021136361
Statistische Region Braunschweig,2020,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR031,10.2188763418374
Statistische Region Hannover,2020,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR032,11.9720069982504
Statistische Region Lüneburg,2020,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR033,8.18337365036285
Statistische Region Weser-Ems,2020,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR034,10.6936532945502
Niedersachsen,2020,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR030,10.3809185699446
Statistische Region Braunschweig,2019,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR031,9.26865570665043
Statistische Region Hannover,2019,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR032,11.0541727672035
Statistische Region Lüneburg,2019,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR033,7.14408577489823
Statistische Region Weser-Ems,2019,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR034,9.32180491758984
Niedersachsen,2019,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR030,9.28019944288276
Statistische Region Braunschweig,2018,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR031,8.59369658850072
Statistische Region Hannover,2018,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR032,10.1069234118729
Statistische Region Lüneburg,2018,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR033,6.67265782970119
Statistische Region Weser-Ems,2018,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR034,8.22470047471931
Niedersachsen,2018,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR030,8.43399211471334
Statistische Region Braunschweig,2017,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR031,7.90471034109367
Statistische Region Hannover,2017,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR032,9.46386039955281
Statistische Region Lüneburg,2017,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR033,5.77364618916951
Statistische Region Weser-Ems,2017,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR034,7.40007471049683
Niedersachsen,2017,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR030,7.66104831449435
Statistische Region Braunschweig,2016,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR031,7.0535165060488
Statistische Region Hannover,2016,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR032,7.8111801242236
Statistische Region Lüneburg,2016,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR033,5.19147481194438
Statistische Region Weser-Ems,2016,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR034,6.40339896058571
Niedersachsen,2016,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR030,6.61412318057586
Statistische Region Braunschweig,2015,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR031,5.59194975349497
Statistische Region Hannover,2015,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR032,7.51095141999311
Statistische Region Lüneburg,2015,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR033,4.06889248090965
Statistische Region Weser-Ems,2015,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR034,5.14437437769665
Niedersachsen,2015,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR030,5.58604175500736
Statistische Region Braunschweig,2014,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR031,5.22363907049
Statistische Region Hannover,2014,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR032,7.07376930850296
Statistische Region Lüneburg,2014,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR033,3.87601049306708
Statistische Region Weser-Ems,2014,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR034,4.98185776487663
Niedersachsen,2014,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR030,5.3038111290303
Statistische Region Braunschweig,2013,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR031,5.8321479374111
Statistische Region Hannover,2013,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR032,7.70862148455509
Statistische Region Lüneburg,2013,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR033,3.48036191651244
Statistische Region Weser-Ems,2013,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR034,4.61580793836417
Niedersachsen,2013,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR030,5.3643572379464
Statistische Region Braunschweig,2012,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR031,6.30404120929662
Statistische Region Hannover,2012,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR032,8.46838824577026
Statistische Region Lüneburg,2012,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR033,3.9211702559935
Statistische Region Weser-Ems,2012,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR034,4.85648211127738
Niedersachsen,2012,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR030,5.83890096632104
Statistische Region Braunschweig,2011,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR031,6.38098033460522
Statistische Region Hannover,2011,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR032,8.59304084720121
Statistische Region Lüneburg,2011,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR033,4.15521812484936
Statistische Region Weser-Ems,2011,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR034,5.0905897277429
Niedersachsen,2011,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR030,6.00274935084772
Statistische Region Braunschweig,2010,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR031,6.59271180595471
Statistische Region Hannover,2010,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR032,8.59540597828438
Statistische Region Lüneburg,2010,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR033,3.92560007650378
Statistische Region Weser-Ems,2010,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR034,4.62463041522047
Niedersachsen,2010,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR030,5.82851585715058
Statistische Region Braunschweig,2005,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR031,7.33623082159501
Statistische Region Hannover,2005,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR032,9.87628780669453
Statistische Region Lüneburg,2005,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR033,4.90412979351032
Statistische Region Weser-Ems,2005,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR034,5.15723270440252
Niedersachsen,2005,Ausländerinnen und Ausländer,Insgesamt,Prozent,SR030,6.69659788636387
Statistische Region Braunschweig,2020,Deutsche,Hauptschule,Anzahl,SR031,733
Statistische Region Hannover,2020,Deutsche,Hauptschule,Anzahl,SR032,334
Statistische Region Lüneburg,2020,Deutsche,Hauptschule,Anzahl,SR033,515
Statistische Region Weser-Ems,2020,Deutsche,Hauptschule,Anzahl,SR034,767
Niedersachsen,2020,Deutsche,Hauptschule,Anzahl,SR030,2349
Statistische Region Braunschweig,2019,Deutsche,Hauptschule,Anzahl,SR031,850
Statistische Region Hannover,2019,Deutsche,Hauptschule,Anzahl,SR032,392
Statistische Region Lüneburg,2019,Deutsche,Hauptschule,Anzahl,SR033,540
Statistische Region Weser-Ems,2019,Deutsche,Hauptschule,Anzahl,SR034,848
Niedersachsen,2019,Deutsche,Hauptschule,Anzahl,SR030,2630
Statistische Region Braunschweig,2018,Deutsche,Hauptschule,Anzahl,SR031,926
Statistische Region Hannover,2018,Deutsche,Hauptschule,Anzahl,SR032,877
Statistische Region Lüneburg,2018,Deutsche,Hauptschule,Anzahl,SR033,838
Statistische Region Weser-Ems,2018,Deutsche,Hauptschule,Anzahl,SR034,1230
Niedersachsen,2018,Deutsche,Hauptschule,Anzahl,SR030,3871
